city,zip,state,beds,baths,sq__ft,type,price
SACRAMENTO,95838,CA,2,1,836,Residential,59222
SACRAMENTO,95823,CA,3,1,1167,Residential,68212
SACRAMENTO,95815,CA,2,1,796,Residential,68880
SACRAMENTO,95815,CA,2,1,852,Residential,69307
SACRAMENTO,95824,CA,2,1,797,Residential,81900
SACRAMENTO,95841,CA,3,1,1122,Condo,89921
SACRAMENTO,95842,CA,3,2,1104,Residential,90895
SACRAMENTO,95820,CA,3,1,1177,Residential,91002
RANCHO CORDOVA,95670,CA,2,2,941,Condo,94905
RIO LINDA,95673,CA,3,2,1146,Residential,98937
SACRAMENTO,95838,CA,3,2,909,Residential,100309
SACRAMENTO,95823,CA,3,2,1289,Residential,106250
SACRAMENTO,95815,CA,1,1,871,Residential,106852
SACRAMENTO,95822,CA,3,1,1020,Residential,107502
SACRAMENTO,95842,CA,2,2,1022,Residential,108750
SACRAMENTO,95842,CA,2,2,1134,Condo,110700
RIO LINDA,95673,CA,2,1,844,Residential,113263
CITRUS HEIGHTS,95621,CA,2,1,795,Condo,116250
SACRAMENTO,95833,CA,2,1,588,Residential,120000
RIO LINDA,95673,CA,3,2,1356,Residential,121630
CITRUS HEIGHTS,95621,CA,3,2,1118,Residential,122000
SACRAMENTO,95823,CA,4,2,1329,Residential,122682
NORTH HIGHLANDS,95660,CA,4,2,1240,Residential,123000
SACRAMENTO,95834,CA,3,2,1601,Residential,124100
NORTH HIGHLANDS,95660,CA,3,2,901,Residential,125000
ANTELOPE,95843,CA,3,2,1088,Residential,126640
SACRAMENTO,95820,CA,3,1,963,Residential,127281
SACRAMENTO,95832,CA,3,2,1119,Residential,129000
SACRAMENTO,95827,CA,4,2,1380,Residential,131200
SACRAMENTO,95828,CA,3,2,1248,Residential,132000
ELK GROVE,95758,CA,2,2,1039,Condo,133000
NORTH HIGHLANDS,95660,CA,3,2,1152,Residential,134555
SACRAMENTO,95827,CA,3,2,1380,Residential,136500
ELVERTA,95626,CA,3,2,1116,Residential,138750
ELK GROVE,95758,CA,2,2,1039,Condo,141000
SACRAMENTO,95823,CA,3,2,1418,Residential,146250
NORTH HIGHLANDS,95660,CA,3,2,1082,Residential,147308
SACRAMENTO,95823,CA,4,2,1472,Residential,148750
SACRAMENTO,95828,CA,4,2,1146,Residential,149593
SACRAMENTO,95825,CA,1,1,760,Condo,150000
SACRAMENTO,95835,CA,2,2,1304,Condo,152000
SACRAMENTO,95822,CA,3,2,1207,Residential,154000
ELK GROVE,95624,CA,3,2,1056,Residential,156896
ANTELOPE,95843,CA,2,2,1043,Residential,161250
NORTH HIGHLANDS,95660,CA,4,2,1587,Residential,161500
SACRAMENTO,95833,CA,4,1,1120,Residential,164000
SACRAMENTO,95823,CA,4,2,1580,Residential,165000
SACRAMENTO,95823,CA,4,1,1955,Residential,166357
SACRAMENTO,95838,CA,4,2,1656,Residential,166357
SACRAMENTO,95823,CA,3,2,1477,Residential,168000
ELK GROVE,95624,CA,3,2,1188,Residential,170000
SACRAMENTO,95828,CA,4,2,1590,Residential,173000
SACRAMENTO,95823,CA,3,2,1463,Residential,174250
SACRAMENTO,95828,CA,4,2,1714,Residential,174313
SACRAMENTO,95823,CA,3,2,1185,Residential,178480
GALT,95632,CA,3,2,1406,Residential,178760
SACRAMENTO,95842,CA,4,2,1943,Multi-Family,179580
SACRAMENTO,95826,CA,3,2,1172,Residential,181000
CARMICHAEL,95608,CA,3,1,1152,Residential,181872
SACRAMENTO,95823,CA,4,3,1851,Residential,182587
ANTELOPE,95843,CA,3,2,1215,Residential,182716
GALT,95632,CA,3,2,1130,Residential,182750
ORANGEVALE,95662,CA,4,2,1603,Residential,183200
GALT,95632,CA,3,1,1479,Residential,188741
SACRAMENTO,95823,CA,3,2,1420,Residential,189000
SACRAMENTO,95826,CA,3,2,1280,Residential,192067
ELK GROVE,95758,CA,3,2,1586,Residential,194000
ANTELOPE,95843,CA,3,2,1362,Residential,194818
SACRAMENTO,95828,CA,4,4,2162,Multi-Family,195000
SACRAMENTO,95823,CA,3,2,1266,Residential,198000
ELK GROVE,95624,CA,4,2,1715,Residential,199500
FOLSOM,95630,CA,3,2,1820,Residential,200000
CARMICHAEL,95608,CA,3,1,936,Residential,200000
SACRAMENTO,95834,CA,0,0,0,Residential,206000
SACRAMENTO,95834,CA,3,2,1511,Residential,208000
SACRAMENTO,95823,CA,4,2,1590,Residential,212864
ELK GROVE,95758,CA,4,2,1596,Residential,221000
SACRAMENTO,95835,CA,2,2,1341,Residential,221000
ELK GROVE,95624,CA,5,3,2136,Residential,223058
ELK GROVE,95624,CA,4,2,1616,Residential,227887
SACRAMENTO,95823,CA,3,2,1478,Residential,231477
RANCHO CORDOVA,95670,CA,3,2,1287,Residential,234697
CITRUS HEIGHTS,95621,CA,4,2,1277,Residential,235000
SACRAMENTO,95833,CA,4,2,1448,Residential,236000
SACRAMENTO,95829,CA,4,3,2235,Residential,236685
MATHER,95655,CA,3,2,2093,Residential,237800
RIO LINDA,95673,CA,3,2,1193,Residential,240122
ELK GROVE,95757,CA,3,2,2163,Residential,242638
SACRAMENTO,95828,CA,3,2,1269,Residential,244000
SACRAMENTO,95833,CA,0,0,0,Residential,244500
SACRAMENTO,95828,CA,3,1,958,Residential,244960
ELK GROVE,95624,CA,5,3,2508,Residential,245918
CITRUS HEIGHTS,95621,CA,3,2,1305,Residential,250000
ELK GROVE,95758,CA,4,2,1591,Residential,250000
CARMICHAEL,95608,CA,2,2,1326,Condo,250134
ELK GROVE,95757,CA,3,2,1843,Residential,254200
SACRAMENTO,95841,CA,4,2,1921,Residential,254200
ELK GROVE,95758,CA,5,3,2790,Residential,258000
SACRAMENTO,95835,CA,3,2,1541,Residential,260000
SACRAMENTO,95820,CA,3,1,1018,Residential,260014
RANCHO CORDOVA,95742,CA,0,0,0,Residential,263500
SACRAMENTO,95834,CA,3,2,1672,Condo,265000
POLLOCK PINES,95726,CA,3,2,1380,Residential,265000
SACRAMENTO,95822,CA,3,1,975,Residential,271742
SACRAMENTO,95829,CA,4,3,2372,Residential,273750
SACRAMENTO,95822,CA,3,2,1446,Residential,275086
POLLOCK PINES,95726,CA,2,2,1284,Residential,280908
SACRAMENTO,95832,CA,4,3,3009,Residential,280987
SACRAMENTO,95826,CA,8,4,3612,Multi-Family,282400
ELK GROVE,95758,CA,4,2,2056,Residential,285000
ELK GROVE,95624,CA,4,2,1993,Residential,287417
ELK GROVE,95757,CA,3,2,1857,Residential,291000
SACRAMENTO,95818,CA,2,1,1126,Residential,292024
SACRAMENTO,95827,CA,4,4,2213,Multi-Family,297000
ELK GROVE,95758,CA,5,3,2494,Residential,297000
ELK GROVE,95757,CA,3,2,1843,Residential,298000
GOLD RIVER,95670,CA,2,2,1520,Residential,299000
SACRAMENTO,95835,CA,5,3,2800,Residential,304037
ELK GROVE,95624,CA,4,2,2309,Residential,311000
SACRAMENTO,95827,CA,5,3,2367,Residential,315537
RANCHO CORDOVA,95742,CA,5,4,3516,Residential,320000
RANCHO CORDOVA,95742,CA,0,0,0,Residential,320000
SACRAMENTO,95826,CA,4,3,1914,Residential,328360
ORANGEVALE,95662,CA,2,1,1690,Residential,334150
ELK GROVE,95757,CA,3,3,2725,Residential,335750
ELK GROVE,95757,CA,4,3,2354,Residential,335750
SACRAMENTO,95833,CA,0,0,0,Residential,339500
FOLSOM,95630,CA,3,2,2185,Residential,344250
ELK GROVE,95758,CA,4,2,1801,Residential,346210
SACRAMENTO,95823,CA,3,3,1961,Residential,347029
ELK GROVE,95757,CA,4,2,3134,Residential,347650
SACRAMENTO,95823,CA,4,3,1915,Residential,351300
EL DORADO HILLS,95762,CA,3,2,0,Residential,352000
SACRAMENTO,95831,CA,0,0,0,Residential,370000
RANCHO MURIETA,95683,CA,4,3,2734,Residential,370500
WILTON,95693,CA,3,2,2110,Residential,372000
ELK GROVE,95757,CA,5,3,3164,Residential,375000
SACRAMENTO,95835,CA,5,3,3599,Residential,381300
SACRAMENTO,95831,CA,4,2,2054,Residential,381942
ANTELOPE,95843,CA,4,2,1830,Residential,387731
SACRAMENTO,95814,CA,3,3,1627,Residential,391000
ELK GROVE,95757,CA,4,3,3440,Residential,394470
GREENWOOD,95635,CA,3,2,2846,Residential,395000
ELK GROVE,95624,CA,4,3,2359,Residential,400186
SACRAMENTO,95831,CA,3,3,2052,Residential,415000
ELK GROVE,95757,CA,5,3,3433,Residential,425000
RANCHO CORDOVA,95742,CA,5,3,3615,Residential,430000
ELK GROVE,95624,CA,0,0,0,Residential,445000
FOLSOM,95630,CA,5,3,2687,Residential,460000
ELK GROVE,95757,CA,4,3,2724,Residential,461000
ELK GROVE,95757,CA,4,3,3440,Residential,489332
ELK GROVE,95757,CA,5,4,3508,Residential,510000
FOLSOM,95630,CA,4,2,2462,Residential,539000
FOLSOM,95630,CA,0,0,0,Residential,585000
EL DORADO HILLS,95762,CA,4,3,0,Residential,600000
EL DORADO HILLS,95762,CA,4,3,0,Residential,606238
SACRAMENTO,95864,CA,3,3,2325,Residential,660000
EL DORADO HILLS,95762,CA,6,5,0,Residential,830000
CITRUS HEIGHTS,95621,CA,2,1,795,Condo,69000
SACRAMENTO,95817,CA,4,2,1099,Residential,70000
ELK GROVE,95624,CA,2,1,840,Condo,71000
SACRAMENTO,95815,CA,2,1,800,Residential,78000
SACRAMENTO,95824,CA,2,1,746,Residential,78400
SACRAMENTO,95822,CA,3,1,1067,Residential,80000
SACRAMENTO,95815,CA,4,2,1316,Residential,89000
SACRAMENTO,95815,CA,3,1,1337,Residential,90000
SACRAMENTO,95824,CA,2,1,868,Residential,90000
SACRAMENTO,95824,CA,3,1,924,Residential,92000
SACRAMENTO,95820,CA,2,1,610,Residential,93675
RANCHO MURIETA,95683,CA,0,0,0,Residential,97750
SACRAMENTO,95815,CA,2,1,1220,Residential,98000
ELK GROVE,95758,CA,1,1,722,Condo,98000
SACRAMENTO,95864,CA,3,1,1643,Residential,99000
ELK GROVE,95758,CA,1,1,722,Condo,100000
GALT,95632,CA,3,1,1080,Residential,106716
SACRAMENTO,95820,CA,3,1,1039,Residential,111000
NORTH HIGHLANDS,95660,CA,3,1,1051,Residential,111000
SACRAMENTO,95842,CA,2,2,967,Residential,114800
RANCHO CORDOVA,95670,CA,3,1,1098,Residential,120108
SACRAMENTO,95824,CA,3,1,1050,Residential,123225
SACRAMENTO,95838,CA,3,2,1110,Residential,123750
NORTH HIGHLANDS,95660,CA,3,1,888,Residential,125000
SACRAMENTO,95822,CA,3,2,1120,Residential,125000
ELVERTA,95626,CA,3,2,1080,Residential,126000
NORTH HIGHLANDS,95660,CA,3,1,957,Residential,129000
SACRAMENTO,95838,CA,2,1,952,Residential,134000
SACRAMENTO,95838,CA,3,2,1211,Residential,135000
SACRAMENTO,95815,CA,3,2,1264,Residential,135500
SACRAMENTO,95833,CA,3,1,1080,Residential,140000
GALT,95632,CA,3,2,1266,Residential,140000
FAIR OAKS,95628,CA,2,2,994,Condo,142500
SACRAMENTO,95834,CA,3,2,1202,Residential,143500
ELK GROVE,95758,CA,0,0,0,Condo,145000
SACRAMENTO,95820,CA,2,1,722,Residential,145000
SACRAMENTO,95828,CA,4,2,1448,Residential,145000
SACRAMENTO,95828,CA,3,2,1188,Residential,145000
NORTH HIGHLANDS,95660,CA,4,2,1183,Residential,146000
SACRAMENTO,95822,CA,3,1,1320,Residential,148500
SACRAMENTO,95828,CA,3,2,1117,Residential,149000
SACRAMENTO,95828,CA,3,2,1364,Residential,150000
SACRAMENTO,95823,CA,4,2,1310,Residential,150000
ELK GROVE,95758,CA,2,2,1006,Residential,152000
CITRUS HEIGHTS,95621,CA,3,2,1104,Residential,156000
SACRAMENTO,95825,CA,2,1,810,Residential,156000
ELK GROVE,95624,CA,2,2,1123,Residential,156000
SACRAMENTO,95842,CA,2,1,904,Residential,157788
CITRUS HEIGHTS,95621,CA,3,2,1156,Residential,161653
SACRAMENTO,95820,CA,2,1,1321,Residential,161829
ANTELOPE,95843,CA,3,2,1392,Residential,165000
SACRAMENTO,95823,CA,3,2,1439,Residential,168000
SACRAMENTO,95842,CA,3,2,1159,Residential,169000
RANCHO CORDOVA,95670,CA,3,2,1671,Residential,175000
SACRAMENTO,95823,CA,3,2,1740,Residential,176250
SACRAMENTO,95823,CA,3,2,1265,Residential,179000
ANTELOPE,95843,CA,2,2,1007,Residential,180000
ELK GROVE,95758,CA,3,2,1716,Residential,180400
ELK GROVE,95758,CA,4,2,1685,Residential,182000
RANCHO CORDOVA,95670,CA,4,2,1829,Residential,184500
ELK GROVE,95758,CA,3,2,1555,Residential,185000
CARMICHAEL,95608,CA,4,2,1120,Residential,189000
CITRUS HEIGHTS,95621,CA,3,2,1137,Residential,194000
SACRAMENTO,95826,CA,3,1,1174,Residential,195000
ANTELOPE,95843,CA,3,2,1393,Residential,200000
CAMERON PARK,95682,CA,3,1,0,Residential,201000
LINCOLN,95648,CA,4,2,0,Residential,202500
SACRAMENTO,95828,CA,3,2,1289,Residential,205000
SACRAMENTO,95838,CA,4,2,1799,Residential,205000
PLACERVILLE,95667,CA,3,2,0,Residential,205000
SACRAMENTO,95823,CA,4,3,1953,Residential,205000
SACRAMENTO,95820,CA,2,1,723,Residential,207000
CAMERON PARK,95682,CA,2,2,0,Residential,210000
PLACERVILLE,95667,CA,2,1,948,Residential,211500
CITRUS HEIGHTS,95621,CA,4,2,1578,Residential,215000
CITRUS HEIGHTS,95610,CA,3,2,1317,Residential,215000
SACRAMENTO,95833,CA,0,0,0,Residential,215500
SACRAMENTO,95824,CA,3,1,1360,Residential,222381
SACRAMENTO,95825,CA,0,0,0,Condo,225000
SACRAMENTO,95833,CA,3,2,1522,Residential,225000
SACRAMENTO,95825,CA,4,2,1751,Residential,225000
ELK GROVE,95624,CA,3,2,1465,Residential,225000
SACRAMENTO,95826,CA,4,2,1605,Residential,228000
RIO LINDA,95673,CA,4,2,1475,Residential,229665
MEADOW VISTA,95722,CA,3,1,1216,Residential,230000
FAIR OAKS,95628,CA,2,2,1315,Residential,230000
ELK GROVE,95757,CA,3,2,1567,Residential,230000
SACRAMENTO,95835,CA,3,2,1776,Residential,234000
SACRAMENTO,95835,CA,3,2,2187,Residential,235000
SACRAMENTO,95822,CA,3,1,1291,Residential,236250
FOLSOM,95630,CA,0,0,0,Condo,240000
ELK GROVE,95624,CA,0,0,0,Residential,242000
SACRAMENTO,95842,CA,3,2,1503,Residential,245000
SACRAMENTO,95828,CA,4,3,2491,Residential,245000
SACRAMENTO,95816,CA,2,1,1269,Residential,245000
SACRAMENTO,95835,CA,0,0,0,Residential,250000
ORANGEVALE,95662,CA,3,2,1176,Residential,250000
ORANGEVALE,95662,CA,4,2,1456,Residential,250000
ROSEVILLE,95678,CA,3,2,1498,Residential,250000
ANTELOPE,95843,CA,3,2,1574,Residential,255000
CITRUS HEIGHTS,95610,CA,5,4,2085,Multi-Family,256054
SACRAMENTO,95829,CA,3,2,2170,Residential,257729
ELK GROVE,95758,CA,4,2,1595,Residential,260000
ANTELOPE,95843,CA,3,2,1567,Residential,261000
LINCOLN,95648,CA,4,2,0,Residential,261800
SACRAMENTO,95822,CA,4,2,1253,Residential,264469
ANTELOPE,95843,CA,4,3,1768,Residential,265000
SACRAMENTO,95835,CA,0,0,0,Residential,270000
SACRAMENTO,95835,CA,4,3,2030,Residential,270000
SACRAMENTO,95835,CA,3,2,1531,Residential,270000
SACRAMENTO,95834,CA,0,0,0,Residential,270000
ELK GROVE,95624,CA,4,3,1653,Residential,275000
ELK GROVE,95758,CA,4,2,2056,Residential,275000
ELK GROVE,95624,CA,4,3,2494,Residential,280000
FAIR OAKS,95628,CA,3,2,1450,Residential,286013
SACRAMENTO,95834,CA,4,2,2169,Residential,292000
ROSEVILLE,95747,CA,3,2,1440,Residential,292000
FAIR OAKS,95628,CA,3,2,1527,Residential,293993
ROSEVILLE,95678,CA,3,2,1401,Residential,294000
SACRAMENTO,95838,CA,3,2,1411,Residential,296769
LINCOLN,95648,CA,4,4,0,Residential,297500
GOLD RIVER,95670,CA,0,0,0,Condo,300000
RIO LINDA,95673,CA,3,1,1284,Residential,300000
GALT,95632,CA,4,3,2307,Residential,300000
PLACERVILLE,95667,CA,3,2,1329,Residential,300000
SACRAMENTO,95835,CA,4,2,1910,Residential,300500
GOLD RIVER,95670,CA,3,2,1981,Residential,305000
ROSEVILLE,95747,CA,0,0,0,Residential,306500
SACRAMENTO,95835,CA,0,0,0,Residential,312500
LINCOLN,95648,CA,5,3,0,Residential,315000
SACRAMENTO,95823,CA,4,2,2205,Residential,319789
LINCOLN,95648,CA,2,2,1449,Residential,330000
FOLSOM,95630,CA,3,2,1258,Residential,330000
ELK GROVE,95757,CA,3,2,2575,Residential,331000
SACRAMENTO,95820,CA,2,1,539,Residential,334000
RANCHO CORDOVA,95670,CA,4,3,2208,Residential,336000
SACRAMENTO,95819,CA,3,1,1108,Residential,339000
FOLSOM,95630,CA,4,2,1595,Residential,339000
GALT,95632,CA,4,2,2159,Residential,345000
PLACERVILLE,95667,CA,4,3,2295,Residential,350000
ROSEVILLE,95678,CA,3,2,1838,Residential,356000
SACRAMENTO,95823,CA,4,2,1900,Residential,361745
SACRAMENTO,95811,CA,4,2,1718,Residential,361948
ELK GROVE,95757,CA,5,3,3389,Residential,370000
ROCKLIN,95677,CA,4,2,0,Residential,380000
ELK GROVE,95757,CA,5,4,3260,Residential,385000
CAMERON PARK,95682,CA,3,2,2016,Residential,399000
ROCKLIN,95765,CA,4,2,2607,Residential,402000
ELK GROVE,95757,CA,4,3,2724,Residential,406026
GALT,95632,CA,5,4,3746,Residential,420000
RANCHO CORDOVA,95742,CA,0,0,0,Residential,425000
RANCHO MURIETA,95683,CA,4,2,3192,Residential,425000
SACRAMENTO,95834,CA,0,0,0,Residential,433500
LINCOLN,95648,CA,4,3,0,Residential,436746
EL DORADO HILLS,95762,CA,5,3,0,Residential,438700
SACRAMENTO,95811,CA,2,1,1247,Residential,445000
FOLSOM,95630,CA,4,2,2581,Residential,450000
SACRAMENTO,95841,CA,3,1,2068,Residential,460000
EL DORADO HILLS,95762,CA,3,2,0,Residential,460000
ELK GROVE,95624,CA,4,3,3992,Residential,460000
SACRAMENTO,95835,CA,4,4,3397,Residential,465000
SACRAMENTO,95835,CA,5,3,3881,Residential,471750
ROCKLIN,95765,CA,5,3,0,Residential,480000
CARMICHAEL,95608,CA,2,2,1598,Residential,484000
PLACERVILLE,95667,CA,4,3,1929,Residential,485000
ELK GROVE,95757,CA,4,3,3070,Residential,495000
ROSEVILLE,95678,CA,0,0,0,Residential,500500
AUBURN,95603,CA,3,3,0,Residential,504000
EL DORADO HILLS,95762,CA,0,0,0,Residential,541000
WILTON,95693,CA,0,0,0,Residential,560000
SACRAMENTO,95829,CA,5,3,3984,Residential,572500
CARMICHAEL,95608,CA,4,2,2222,Residential,582000
ROSEVILLE,95661,CA,4,3,3838,Residential,613401
ROSEVILLE,95747,CA,4,2,0,Residential,614000
FAIR OAKS,95628,CA,5,5,2846,Residential,680000
SACRAMENTO,95819,CA,5,2,2484,Residential,699000
LOOMIS,95650,CA,4,4,1624,Residential,839000
SACRAMENTO,95842,CA,2,1,840,Condo,40000
SACRAMENTO,95825,CA,1,1,484,Condo,48000
SACRAMENTO,95815,CA,3,1,970,Residential,61500
SACRAMENTO,95817,CA,2,1,623,Residential,62050
SACRAMENTO,95820,CA,2,1,932,Residential,65000
SACRAMENTO,95838,CA,2,1,796,Residential,65000
SACRAMENTO,95820,CA,2,1,834,Residential,68000
SACRAMENTO,95820,CA,2,1,834,Residential,68000
SACRAMENTO,95841,CA,2,1,924,Condo,77000
SACRAMENTO,95842,CA,2,1,795,Condo,82732
SACRAMENTO,95838,CA,3,1,1250,Residential,84000
SACRAMENTO,95820,CA,2,1,984,Residential,84675
SACRAMENTO,95828,CA,3,1,1013,Residential,85000
SACRAMENTO,95822,CA,3,1,1012,Residential,90000
SACRAMENTO,95826,CA,2,1,795,Condo,90000
SACRAMENTO,95838,CA,2,2,918,Residential,91000
SACRAMENTO,95838,CA,3,1,1082,Residential,95000
SACRAMENTO,95842,CA,2,1,964,Residential,97500
SACRAMENTO,95815,CA,4,2,1404,Multi-Family,100000
SACRAMENTO,95826,CA,1,1,625,Condo,100000
CITRUS HEIGHTS,95621,CA,2,1,888,Residential,101000
SACRAMENTO,95815,CA,4,2,1120,Residential,102750
NORTH HIGHLANDS,95660,CA,3,1,1331,Residential,112500
SACRAMENTO,95821,CA,3,1,1014,Residential,113000
SACRAMENTO,95820,CA,4,2,1448,Residential,114000
SACRAMENTO,95838,CA,3,1,966,Residential,114000
SACRAMENTO,95823,CA,2,1,779,Residential,114750
ANTELOPE,95843,CA,2,2,836,Condo,115000